dataset,classifier,splitting,feature_selection,scaling,n_features_orig,n_features,accuracy,precision,recall,f1,preprocess_time,training_time,prediction_time,f1_std
reviews,KNeighborsClassifier,holdout,,,10000,10000,0.1688888888888889,0.22625852730200557,0.1688888888888889,0.1671728648219876,0.18355202674865723,0.588871955871582,0.3716890811920166,
reviews,KNeighborsClassifier,cv,,,10000,10000,0.19066666666666668,0.22928031195857282,0.19066666666666668,0.17767468154654856,0.033992671966552736,0.18857893943786622,0.29930834770202636,0.04261773939551257
reviews,DecisionTreeClassifier,holdout,,,10000,10000,0.3333333333333333,0.3908571428571429,0.3333333333333333,0.3406069732736399,0.04437518119812012,1.6125969886779785,0.0949089527130127,
reviews,DecisionTreeClassifier,cv,,,10000,10000,0.312,0.37068802308802307,0.312,0.3122111814111814,0.029095983505249022,1.6863929271697997,0.09476299285888672,0.04850946145000712
reviews,RandomForestClassifier,holdout,,,10000,10000,0.48444444444444446,0.5924465287798621,0.48444444444444446,0.48113124742873026,0.04990577697753906,2.715338945388794,0.14630889892578125,
reviews,RandomForestClassifier,cv,,,10000,10000,0.5293333333333333,0.595119561919562,0.5293333333333333,0.5182444925444926,0.031125783920288086,1.7106135845184327,0.12100777626037598,0.05339433910165045
reviews,KNeighborsClassifier,holdout,,standard,10000,10000,0.06222222222222222,0.08233860547586037,0.06222222222222222,0.043111211812242735,0.506777286529541,0.048973798751831055,0.10585188865661621,
reviews,KNeighborsClassifier,cv,,standard,10000,10000,0.036,0.0349353903850083,0.036,0.01714468969606464,0.5561811923980713,0.05706524848937988,0.07382059097290039,0.01250968663253391
reviews,DecisionTreeClassifier,holdout,,standard,10000,10000,0.3422222222222222,0.38815263748597084,0.3422222222222222,0.34106545306545305,0.48235082626342773,1.3118081092834473,0.005961179733276367,
reviews,DecisionTreeClassifier,cv,,standard,10000,10000,0.3213333333333333,0.36348571428571425,0.3213333333333333,0.3177925999926,0.47115440368652345,1.4088537216186523,0.006259250640869141,0.05151515956923539
reviews,RandomForestClassifier,holdout,,standard,10000,10000,0.4666666666666667,0.6070396825396825,0.4666666666666667,0.46669892680419,0.4669358730316162,1.6972157955169678,0.0375218391418457,
reviews,RandomForestClassifier,cv,,standard,10000,10000,0.5079999999999999,0.5652383640324816,0.5079999999999999,0.49157627187627184,0.4898835182189941,1.6188488006591797,0.030618000030517577,0.03214066419922159
reviews,KNeighborsClassifier,holdout,p-value,,10000,5797,0.17333333333333334,0.2250478862701085,0.17333333333333334,0.1682115907781898,71.8312828540802,0.09829497337341309,0.15805387496948242,
reviews,KNeighborsClassifier,cv,p-value,,10000,6054,0.19066666666666668,0.22712440108910698,0.19066666666666668,0.17578708237266588,84.95424556732178,0.1096503734588623,0.16240348815917968,0.03548245347396357
reviews,DecisionTreeClassifier,holdout,p-value,,10000,5797,0.3244444444444444,0.36617027417027415,0.3244444444444444,0.3247418507418508,77.20761322975159,1.002474069595337,0.05847597122192383,
reviews,DecisionTreeClassifier,cv,p-value,,10000,6054,0.32399999999999995,0.379859644059644,0.32399999999999995,0.32386499731205615,70.370490026474,1.0828888893127442,0.06174302101135254,0.04331509672632777
reviews,RandomForestClassifier,holdout,p-value,,10000,5797,0.5288888888888889,0.6215144064359751,0.5288888888888889,0.5268177148693145,106.38257312774658,2.0690789222717285,0.12995624542236328,
reviews,RandomForestClassifier,cv,p-value,,10000,6054,0.5519999999999999,0.6089333333333333,0.5519999999999999,0.5301639841639841,75.00950498580933,1.3805222034454345,0.08334937095642089,0.02701579751539814
reviews,KNeighborsClassifier,holdout,p-value,standard,10000,5797,0.10222222222222223,0.18099725678385045,0.10222222222222223,0.08400763651744043,64.42492008209229,0.0280759334564209,0.06835293769836426,
reviews,KNeighborsClassifier,cv,p-value,standard,10000,6054,0.07999999999999999,0.1260890858884918,0.07999999999999999,0.06767441065901683,73.35817461013794,0.036687469482421874,0.052277755737304685,0.012667275227774806
reviews,DecisionTreeClassifier,holdout,p-value,standard,10000,5797,0.3333333333333333,0.3982566939233606,0.3333333333333333,0.3410908104241438,69.1601037979126,0.9591090679168701,0.00433802604675293,
reviews,DecisionTreeClassifier,cv,p-value,standard,10000,6054,0.31733333333333336,0.3530428571428571,0.31733333333333336,0.3141840455840456,71.63160243034363,1.0727156162261964,0.0033464431762695312,0.05883267698935402
reviews,RandomForestClassifier,holdout,p-value,standard,10000,5797,0.44,0.5459571292904627,0.44,0.44069255435922106,72.79871726036072,1.2675161361694336,0.033902883529663086,
reviews,RandomForestClassifier,cv,p-value,standard,10000,6054,0.5253333333333334,0.5798417175417176,0.5253333333333334,0.5122256992604819,74.39846315383912,1.4346036911010742,0.027423763275146486,0.040199814799357726
