dataset,classifier,splitting,feature_selection,scaling,n_features_orig,n_features,accuracy,precision,recall,f1,preprocess_time,training_time,prediction_time,f1_std
reviews,KNeighborsClassifier,holdout,,,10000,10000,0.1688888888888889,0.22625852730200557,0.1688888888888889,0.1671728648219876,0.20311903953552246,0.3596632480621338,0.8097758293151855,
reviews,KNeighborsClassifier,cv,,,10000,10000,0.19066666666666668,0.22928031195857282,0.19066666666666668,0.17767468154654856,0.03397107124328613,0.22948117256164552,0.30797877311706545,0.04261773939551257
reviews,DecisionTreeClassifier,holdout,,,10000,10000,0.36,0.431037037037037,0.36,0.36821440288106955,0.027189016342163086,2.2213587760925293,0.10680913925170898,
reviews,DecisionTreeClassifier,cv,,,10000,10000,0.32533333333333336,0.3723021164021164,0.32533333333333336,0.3220600436600437,0.034340286254882814,1.962412691116333,0.10947117805480958,0.05974085791249729
reviews,RandomForestClassifier,holdout,,,10000,10000,0.49333333333333335,0.5661043277709944,0.49333333333333335,0.4824087169185209,0.18255925178527832,2.3081841468811035,0.17355585098266602,
reviews,RandomForestClassifier,cv,,,10000,10000,0.5133333333333333,0.5777118326118326,0.5133333333333333,0.49830795130795125,0.06574077606201172,2.349761486053467,0.24557204246520997,0.041453685982798714
reviews,KNeighborsClassifier,holdout,,standard,10000,10000,0.06222222222222222,0.08233860547586037,0.06222222222222222,0.043111211812242735,0.49787187576293945,0.05386209487915039,0.20729970932006836,
reviews,KNeighborsClassifier,cv,,standard,10000,10000,0.036,0.0349353903850083,0.036,0.01714468969606464,0.7208558082580566,0.10234756469726562,0.12947297096252441,0.01250968663253391
reviews,DecisionTreeClassifier,holdout,,standard,10000,10000,0.3333333333333333,0.39053535353535357,0.3333333333333333,0.3344241437574771,0.5525040626525879,1.574462890625,0.007163047790527344,
reviews,DecisionTreeClassifier,cv,,standard,10000,10000,0.31733333333333336,0.36357724867724867,0.31733333333333336,0.31724064084064085,0.6659303188323975,1.9388632297515869,0.007378625869750977,0.04067894696319282
reviews,RandomForestClassifier,holdout,,standard,10000,10000,0.5333333333333333,0.6338227821561155,0.5333333333333333,0.5245474278807613,1.1450579166412354,1.5845329761505127,0.05070686340332031,
reviews,RandomForestClassifier,cv,,standard,10000,10000,0.5133333333333333,0.5673912698412698,0.5133333333333333,0.4953425289307642,0.6753598213195801,2.1958218097686766,0.04275321960449219,0.04659000411248277
reviews,KNeighborsClassifier,holdout,,robust,10000,10000,0.16,0.255033859763885,0.16,0.14345755636826008,4.072419881820679,0.08755207061767578,0.16437077522277832,
reviews,KNeighborsClassifier,cv,,robust,10000,10000,0.16,0.27178656244408617,0.16,0.15484900994506584,5.160665559768677,0.09219269752502442,0.12556877136230468,0.03156917704449623
reviews,DecisionTreeClassifier,holdout,,robust,10000,10000,0.3511111111111111,0.389326278659612,0.3511111111111111,0.3446969530106785,4.448540925979614,1.442044973373413,0.0075130462646484375,
reviews,DecisionTreeClassifier,cv,,robust,10000,10000,0.33199999999999996,0.3766396825396825,0.33199999999999996,0.3288923520923521,3.555146408081055,1.5538922786712646,0.007166862487792969,0.05595865465470692
reviews,RandomForestClassifier,holdout,,robust,10000,10000,0.47555555555555556,0.6628782031331052,0.47555555555555556,0.4922682074261021,3.024044990539551,1.4982030391693115,0.047937870025634766,
reviews,RandomForestClassifier,cv,,robust,10000,10000,0.5,0.5555916588857766,0.5,0.48131725311725315,4.304170417785644,2.1063841819763183,0.04937191009521484,0.03400204095872507
reviews,KNeighborsClassifier,holdout,,minmax,10000,10000,0.08444444444444445,0.0909862610782151,0.08444444444444445,0.04853597205501357,0.53957200050354,0.06709504127502441,0.12897682189941406,
reviews,KNeighborsClassifier,cv,,minmax,10000,10000,0.076,0.10133117530927219,0.076,0.05803231013148234,0.6431982040405273,0.07390742301940918,0.09762706756591796,0.01518839849679478
reviews,DecisionTreeClassifier,holdout,,minmax,10000,10000,0.3022222222222222,0.36271252204585547,0.3022222222222222,0.31058020991354324,0.699516773223877,1.8436737060546875,0.007481098175048828,
reviews,DecisionTreeClassifier,cv,,minmax,10000,10000,0.32266666666666666,0.37647830687830686,0.32266666666666666,0.31973201613201613,0.5648313045501709,1.8555078983306885,0.007985925674438477,0.05804205496896095
reviews,RandomForestClassifier,holdout,,minmax,10000,10000,0.4711111111111111,0.5667670354337021,0.4711111111111111,0.4594738986503692,0.543259859085083,1.8098201751708984,0.05091714859008789,
reviews,RandomForestClassifier,cv,,minmax,10000,10000,0.5053333333333334,0.568475024975025,0.5053333333333334,0.4877456432456432,0.5863263607025146,2.0751813411712647,0.04393129348754883,0.038912342709835665
reviews,KNeighborsClassifier,holdout,p-value,,10000,5797,0.17333333333333334,0.2250478862701085,0.17333333333333334,0.1682115907781898,103.31807827949524,0.10846519470214844,0.15296292304992676,
reviews,KNeighborsClassifier,cv,p-value,,10000,6054,0.19066666666666668,0.22712440108910698,0.19066666666666668,0.17578708237266588,97.67902517318726,0.1171966552734375,0.17150416374206542,0.03548245347396357
reviews,DecisionTreeClassifier,holdout,p-value,,10000,5797,0.3377777777777778,0.3824126984126984,0.3377777777777778,0.3341741961741962,96.34138798713684,1.319122076034546,0.07330465316772461,
reviews,DecisionTreeClassifier,cv,p-value,,10000,6054,0.31466666666666665,0.34710447330447336,0.31466666666666665,0.3079483997483997,73.92312121391296,1.1223485946655274,0.060361480712890624,0.036918787396921574
reviews,RandomForestClassifier,holdout,p-value,,10000,5797,0.4666666666666667,0.5365767195767196,0.4666666666666667,0.4577749487566421,67.11365079879761,1.350398063659668,0.08730125427246094,
reviews,RandomForestClassifier,cv,p-value,,10000,6054,0.5239999999999999,0.5740869960105254,0.5239999999999999,0.5064139349539349,72.59619951248169,1.4221595764160155,0.08354926109313965,0.034623073516467436
reviews,KNeighborsClassifier,holdout,p-value,standard,10000,5797,0.10222222222222223,0.18099725678385045,0.10222222222222223,0.08400763651744043,73.82077288627625,0.03269195556640625,0.06760191917419434,
reviews,KNeighborsClassifier,cv,p-value,standard,10000,6054,0.07999999999999999,0.1260890858884918,0.07999999999999999,0.06767441065901683,73.69677948951721,0.03339791297912598,0.049374961853027345,0.012667275227774806
reviews,DecisionTreeClassifier,holdout,p-value,standard,10000,5797,0.35555555555555557,0.4113855773855774,0.35555555555555557,0.3541860855194188,68.5486330986023,0.9664969444274902,0.005532026290893555,
reviews,DecisionTreeClassifier,cv,p-value,standard,10000,6054,0.32266666666666666,0.3849751322751323,0.32266666666666666,0.3248085618085618,72.51782445907592,1.0667561531066894,0.0034632205963134764,0.04802510417541239
reviews,RandomForestClassifier,holdout,p-value,standard,10000,5797,0.4311111111111111,0.5204142215808882,0.4311111111111111,0.4289631145905656,68.43299317359924,1.2628040313720703,0.03691911697387695,
reviews,RandomForestClassifier,cv,p-value,standard,10000,6054,0.5213333333333334,0.592879292929293,0.5213333333333334,0.5068982102864457,72.61292190551758,1.3980127334594727,0.029680681228637696,0.03871080936950263
reviews,KNeighborsClassifier,holdout,p-value,robust,10000,5797,0.15555555555555556,0.24545629130814317,0.15555555555555556,0.13571515756624872,68.52652192115784,0.031202077865600586,0.06320500373840332,
reviews,KNeighborsClassifier,cv,p-value,robust,10000,6054,0.17866666666666667,0.2740248327651032,0.17866666666666667,0.1712131185462959,74.26095261573792,0.034179401397705075,0.049822330474853516,0.041712794069054385
reviews,DecisionTreeClassifier,holdout,p-value,robust,10000,5797,0.3422222222222222,0.413962962962963,0.3422222222222222,0.34579423046089713,72.80647015571594,1.03499174118042,0.005211830139160156,
reviews,DecisionTreeClassifier,cv,p-value,robust,10000,6054,0.31599999999999995,0.35386349206349205,0.31599999999999995,0.3122853812853813,74.10983333587646,1.056494379043579,0.0037783145904541015,0.04993170250340273
reviews,RandomForestClassifier,holdout,p-value,robust,10000,5797,0.52,0.6046603505427035,0.52,0.5085067111537699,68.97244596481323,1.1848468780517578,0.03258013725280762,
reviews,RandomForestClassifier,cv,p-value,robust,10000,6054,0.5266666666666666,0.5814713952713952,0.5266666666666666,0.5114940517572097,73.25830483436584,1.3839424133300782,0.028824710845947267,0.05147493139345425
reviews,KNeighborsClassifier,holdout,p-value,minmax,10000,5797,0.1511111111111111,0.2907742800169985,0.1511111111111111,0.1396320180088296,68.56645488739014,0.02776193618774414,0.06511116027832031,
reviews,KNeighborsClassifier,cv,p-value,minmax,10000,6054,0.13066666666666665,0.17890260711437184,0.13066666666666665,0.11722402515971986,72.15655269622803,0.033420133590698245,0.061580991744995116,0.04128786540681936
reviews,DecisionTreeClassifier,holdout,p-value,minmax,10000,5797,0.3377777777777778,0.44457685524352186,0.3377777777777778,0.3514669281335948,67.43829298019409,0.9682319164276123,0.004473209381103516,
reviews,DecisionTreeClassifier,cv,p-value,minmax,10000,6054,0.3253333333333333,0.373168253968254,0.3253333333333333,0.32865677285677286,72.26809458732605,1.0531451225280761,0.003454160690307617,0.05118376175343535
reviews,RandomForestClassifier,holdout,p-value,minmax,10000,5797,0.48,0.5616055796055797,0.48,0.4724417432890085,72.97017788887024,1.1882009506225586,0.03211498260498047,
reviews,RandomForestClassifier,cv,p-value,minmax,10000,6054,0.5226666666666666,0.5849462071697367,0.5226666666666666,0.5070455588855589,73.2314956665039,1.3727827072143555,0.027928638458251952,0.05454283355812489
reviews,KNeighborsClassifier,holdout,correlation,,10000,4692,0.2,0.2315565175565176,0.2,0.179282701321917,129.50053715705872,0.0738828182220459,0.1245889663696289,
reviews,KNeighborsClassifier,cv,correlation,,10000,5086,0.21733333333333332,0.32132081836299864,0.21733333333333332,0.20912986936812464,146.54029750823975,0.07159395217895508,0.10002589225769043,0.031427374224978016
reviews,DecisionTreeClassifier,holdout,correlation,,10000,4692,0.27555555555555555,0.33032912766246103,0.27555555555555555,0.2720948927615594,132.0267779827118,0.4823269844055176,0.04598498344421387,
reviews,DecisionTreeClassifier,cv,correlation,,10000,5086,0.29866666666666664,0.3257825396825397,0.29866666666666664,0.2936871572871573,169.11971712112427,0.7124581813812256,0.060548925399780275,0.048946960061198065
reviews,RandomForestClassifier,holdout,correlation,,10000,4692,0.39555555555555555,0.4846068129401463,0.39555555555555555,0.37615580650668373,282.9026622772217,1.979423999786377,0.20585298538208008,
reviews,RandomForestClassifier,cv,correlation,,10000,5086,0.44800000000000006,0.5021808709808709,0.44800000000000006,0.42466398809309025,169.21366987228393,1.3972298622131347,0.0765528678894043,0.03623853059698491
reviews,KNeighborsClassifier,holdout,correlation,standard,10000,4692,0.04,0.042807345160286336,0.04,0.026317327117327115,130.65209031105042,0.02319192886352539,0.1000521183013916,
reviews,KNeighborsClassifier,cv,correlation,standard,10000,5086,0.029333333333333333,0.01125251758908018,0.029333333333333333,0.006523926322340483,150.57330956459046,0.02608036994934082,0.04451022148132324,0.005160242046947933
