dataset,classifier,splitting,feature_selection,scaling,n_features_orig,n_features,accuracy,precision,recall,f1,preprocess_time,training_time,prediction_time,f1_std
wine_quality,LinearSVC,holdout,p-value,,13,12,0.15194761584956346,0.19972975411063199,0.15194761584956346,0.12924034357360872,0.10978341102600098,10.847567558288574,0.009604930877685547,
wine_quality,LinearSVC,cv,p-value,,13,12,0.18184634570408767,0.2740916666179083,0.18184634570408767,0.10700670509997916,0.1653600215911865,18.01743440628052,0.005404281616210938,0.01142819184922968
wine_quality,DecisionTreeClassifier,holdout,p-value,,13,12,0.7817327065144393,0.7781579351923702,0.7817327065144393,0.7796314934212388,0.18200349807739258,0.46014857292175293,0.010131597518920898,
wine_quality,DecisionTreeClassifier,cv,p-value,,13,12,0.802791142584747,0.799491393670218,0.802791142584747,0.8007472064297334,0.13889164924621583,0.5453660488128662,0.0042017936706542965,0.008542988156638941
wine_quality,RandomForestClassifier,holdout,p-value,,13,12,0.8634989926124916,0.8590420728254375,0.8634989926124916,0.8603062267515459,0.22329282760620117,8.237600564956665,0.27782630920410156,
wine_quality,RandomForestClassifier,cv,p-value,,13,12,0.8811713766114151,0.8779057169376336,0.8811713766114151,0.8787324527689666,0.14802117347717286,8.981923389434815,0.19252443313598633,0.006763928609268541
wine_quality,SVC,holdout,p-value,,13,12,0.09956346541302888,0.0334368983319333,0.09956346541302888,0.04621182200491029,0.14948678016662598,27.673155784606934,8.374922513961792,
wine_quality,SVC,cv,p-value,,13,12,0.09777331497183293,0.056236358512194884,0.09777331497183293,0.04799213060159406,0.14072189331054688,30.545521545410157,6.049410629272461,0.005712332957591736
wine_quality,LinearSVC,holdout,p-value,standard,13,12,0.5043653458697113,0.486676065936197,0.5043653458697113,0.479443607390394,0.2066352367401123,10.633431673049927,0.0018367767333984375,
wine_quality,LinearSVC,cv,p-value,standard,13,12,0.5105282948733482,0.4922275886418127,0.5105282948733482,0.4882586523943232,0.17882847785949707,12.456837511062622,0.002123117446899414,0.006308816104139502
wine_quality,DecisionTreeClassifier,holdout,p-value,standard,13,12,0.7857622565480188,0.7828099549455959,0.7857622565480188,0.7840399134866887,0.1793839931488037,0.44995760917663574,0.0,
wine_quality,DecisionTreeClassifier,cv,p-value,standard,13,12,0.8026903234850652,0.7996640197364636,0.8026903234850652,0.8008159553726735,0.14439549446105956,0.5299395084381103,0.0017901897430419923,0.005897266092924038
wine_quality,RandomForestClassifier,holdout,p-value,standard,13,12,0.8628274009402284,0.8584430497578376,0.8628274009402284,0.8595259706183999,0.16054558753967285,7.667339324951172,0.27036142349243164,
