Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy (Train),Accuracy (Test),Training Time,dataset
[2],tanh,0.01,32,10,0.3033859133720398,0.27581700682640076,4.7305991649627686,wine_quality
[2],tanh,0.01,32,15,0.3128126263618469,0.2823529541492462,9.792079210281372,wine_quality
[2],tanh,0.01,32,20,0.3135821521282196,0.2849673330783844,9.210935115814209,wine_quality
[2],tanh,0.01,64,10,0.08541747182607651,0.054901961237192154,2.567675828933716,wine_quality
[2],tanh,0.01,64,15,0.3008849620819092,0.27973857522010803,4.206604957580566,wine_quality
[2],tanh,0.01,64,20,0.3089649975299835,0.2862745225429535,4.98832893371582,wine_quality
[2],tanh,0.01,128,10,0.3008849620819092,0.27843138575553894,1.384239912033081,wine_quality
[2],tanh,0.01,128,15,0.14178530871868134,0.12941177189350128,2.012526035308838,wine_quality
[2],tanh,0.01,128,20,0.2531743049621582,0.23398692905902863,2.6441571712493896,wine_quality
[2],tanh,0.001,32,10,0.16160061955451965,0.19607843458652496,2.9258978366851807,wine_quality
[2],tanh,0.001,32,15,0.22970373928546906,0.2666666805744171,4.587429761886597,wine_quality
[2],tanh,0.001,32,20,0.28049248456954956,0.27450981736183167,6.225988864898682,wine_quality
[2],tanh,0.001,64,10,0.0,0.0,1.7698707580566406,wine_quality
[2],tanh,0.001,64,15,0.16160061955451965,0.19607843458652496,2.969365119934082,wine_quality
[2],tanh,0.001,64,20,0.16160061955451965,0.19607843458652496,3.7350568771362305,wine_quality
[2],tanh,0.001,128,10,0.0,0.0,1.220296859741211,wine_quality
[2],tanh,0.001,128,15,0.0,0.0,1.7980971336364746,wine_quality
[2],tanh,0.001,128,20,0.16160061955451965,0.19607843458652496,2.500382900238037,wine_quality
[2],tanh,0.0001,32,10,0.0,0.0,2.9238080978393555,wine_quality
[2],tanh,0.0001,32,15,0.0,0.0,4.309871196746826,wine_quality
[2],tanh,0.0001,32,20,0.0,0.0,5.752407073974609,wine_quality
[2],tanh,0.0001,64,10,0.0,0.0,1.7153263092041016,wine_quality
[2],tanh,0.0001,64,15,0.0,0.0,3.573333978652954,wine_quality
[2],tanh,0.0001,64,20,0.0,0.0,4.824155807495117,wine_quality
[2],tanh,0.0001,128,10,0.0,0.0,1.2197496891021729,wine_quality
[2],tanh,0.0001,128,15,0.0,0.0,1.9750070571899414,wine_quality
[2],tanh,0.0001,128,20,0.0,0.0,2.4465837478637695,wine_quality
[2],relu,0.01,32,10,0.33070412278175354,0.2823529541492462,2.876175880432129,wine_quality
[2],relu,0.01,32,15,0.3195459842681885,0.27843138575553894,4.320530891418457,wine_quality
[2],relu,0.01,32,20,0.3237783908843994,0.27712419629096985,5.818902969360352,wine_quality
[2],relu,0.01,64,10,0.32550981640815735,0.27712419629096985,1.7352650165557861,wine_quality
[2],relu,0.01,64,15,0.32166218757629395,0.27843138575553894,2.5167789459228516,wine_quality
[2],relu,0.01,64,20,0.3233936131000519,0.27973857522010803,3.4566762447357178,wine_quality
[2],relu,0.01,128,10,0.31512120366096497,0.2862745225429535,1.177117109298706,wine_quality
[2],relu,0.01,128,15,0.33051174879074097,0.2810457646846771,1.8320329189300537,wine_quality
[2],relu,0.01,128,20,0.3228164613246918,0.27843138575553894,2.70112681388855,wine_quality
[2],relu,0.001,32,10,0.16160061955451965,0.19607843458652496,3.1014626026153564,wine_quality
[2],relu,0.001,32,15,0.16160061955451965,0.19607843458652496,4.234621047973633,wine_quality
[2],relu,0.001,32,20,0.31127357482910156,0.3529411852359772,5.7920379638671875,wine_quality
[2],relu,0.001,64,10,0.002693343674764037,0.0,1.6802620887756348,wine_quality
[2],relu,0.001,64,15,0.16160061955451965,0.19607843458652496,2.702523946762085,wine_quality
[2],relu,0.001,64,20,0.16160061955451965,0.19607843458652496,3.4881601333618164,wine_quality
[2],relu,0.001,128,10,0.0,0.0,1.1903398036956787,wine_quality
[2],relu,0.001,128,15,0.0,0.0,1.9798619747161865,wine_quality
[2],relu,0.001,128,20,0.019815312698483467,0.0052287583239376545,3.2583401203155518,wine_quality
[2],relu,0.0001,32,10,0.0,0.0,6.297858715057373,wine_quality
[2],relu,0.0001,32,15,0.0,0.0,7.1688549518585205,wine_quality
[2],relu,0.0001,32,20,0.0,0.0,7.545351028442383,wine_quality
[2],relu,0.0001,64,10,0.0,0.0,2.984534978866577,wine_quality
[2],relu,0.0001,64,15,0.0,0.0,3.797495126724243,wine_quality
[2],relu,0.0001,64,20,0.0,0.0,4.733964920043945,wine_quality
[2],relu,0.0001,128,10,0.0,0.0,2.7930140495300293,wine_quality
[2],relu,0.0001,128,15,0.0,0.0,3.2939610481262207,wine_quality
[2],relu,0.0001,128,20,0.0,0.0,4.2712249755859375,wine_quality
[2],sigmoid,0.01,32,10,0.3668718636035919,0.37385621666908264,5.186994314193726,wine_quality
[2],sigmoid,0.01,32,15,0.3972681760787964,0.43790850043296814,6.8170716762542725,wine_quality
