Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy,Training Time,dataset
"[25, 31]",relu,0.010921649105211649,64,9,0.4915032684803009,2.2489442825317383,wine_quality
"[26, 32]",tanh,0.009199306659712803,128,9,0.4575163424015045,1.9864089488983154,wine_quality
"[25, 30]",sigmoid,0.014234406499528268,64,8,0.4588235318660736,1.4507992267608643,wine_quality
"[24, 32]",relu,0.015301011654727852,32,9,0.45359477400779724,1.8386781215667725,wine_quality
"[26, 30]",sigmoid,0.004087292760851078,128,8,0.4797385632991791,1.357335090637207,wine_quality
"[26, 31]",tanh,0.013642541645892575,128,10,0.46405228972435,1.5891151428222656,wine_quality
"[26, 30]",relu,0.017092771794695483,128,10,0.49673202633857727,1.6038451194763184,wine_quality
"[26, 30]",sigmoid,0.02454111629132448,128,9,0.2849673330783844,1.6382896900177002,wine_quality
"[25, 29]",relu,0.00769703905937894,128,11,0.4732026159763336,1.7139179706573486,wine_quality
"[25, 30]",relu,0.018865176849255483,32,9,0.4915032684803009,1.4190168380737305,wine_quality
"[27, 29]",tanh,0.007268862856487179,64,10,0.48104575276374817,1.5614748001098633,wine_quality
"[25, 30]",sigmoid,0.00710186372566661,32,11,0.48627451062202454,1.7363080978393555,wine_quality
"[27, 31]",tanh,0.012263448345279503,32,9,0.44967320561408997,1.4403107166290283,wine_quality
"[25, 31]",relu,0.018694747841732882,128,9,0.48496732115745544,1.3848140239715576,wine_quality
"[25, 30]",sigmoid,0.02300356501790763,64,11,0.4588235318660736,1.755345106124878,wine_quality
"[26, 31]",sigmoid,0.022251754683792507,32,9,0.32679739594459534,1.368351936340332,wine_quality
"[26, 29]",relu,0.025577321794183136,32,11,0.42222222685813904,1.7156381607055664,wine_quality
"[26, 31]",sigmoid,0.012975739005902489,64,10,0.4797385632991791,1.549225091934204,wine_quality
"[27, 31]",sigmoid,0.024245798907098937,128,10,0.2849673330783844,1.7209270000457764,wine_quality
"[25, 29]",relu,0.007420912781132079,32,11,0.4915032684803009,1.6836450099945068,wine_quality
"[25, 31]",sigmoid,0.02500753772121278,128,10,0.42091503739356995,1.542543888092041,wine_quality
"[26, 31]",sigmoid,0.010977741467765001,64,10,0.4771241843700409,1.555929183959961,wine_quality
"[27, 30]",relu,0.019414249525102612,128,11,0.4627451002597809,1.7178289890289307,wine_quality
"[27, 29]",relu,0.0170797675023225,32,11,0.4601307213306427,1.6963109970092773,wine_quality
"[27, 30]",sigmoid,0.026237484229959376,32,10,0.4575163424015045,1.5780532360076904,wine_quality
"[25, 30]",sigmoid,0.0220024578305622,128,10,0.43790850043296814,1.5513880252838135,wine_quality
"[27, 31]",tanh,0.02037539448534358,64,9,0.2849673330783844,1.4008128643035889,wine_quality
"[26, 30]",tanh,0.024693886469448548,32,11,0.4575163424015045,1.7078578472137451,wine_quality
"[26, 30]",tanh,0.01704852917601595,64,9,0.2967320382595062,1.401949167251587,wine_quality
"[27, 31]",sigmoid,0.026739541140629805,64,10,0.2849673330783844,1.545776128768921,wine_quality
"[27, 30]",tanh,0.019017554321199538,128,11,0.2849673330783844,1.6962900161743164,wine_quality
"[27, 29]",tanh,0.008086768090171297,128,10,0.4483660161495209,1.5853707790374756,wine_quality
"[27, 30]",sigmoid,0.019326407553203744,32,10,0.45490196347236633,1.5541949272155762,wine_quality
