Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Average Accuracy,Average F1,Average Training Time,dataset
[5],tanh,0.01,64,10,0.8943974630021142,0.8952106959361323,0.08487591743469239,cong_voting
[5],tanh,0.001,64,10,0.2996828752642706,0.3084084477056922,0.05719966888427734,cong_voting
[5],tanh,0.0001,64,10,0.2072938689217759,0.21971566829291272,0.06132488250732422,cong_voting
[5],relu,0.01,64,10,0.9036997885835095,0.9046075226511185,0.06494355201721191,cong_voting
[5],relu,0.001,64,10,0.3315010570824524,0.33787366044561595,0.05140771865844727,cong_voting
[5],relu,0.0001,64,10,0.25792811839323465,0.2706049077672339,0.0536468505859375,cong_voting
[5],sigmoid,0.01,64,10,0.9035940803382664,0.9041736993415223,0.04991216659545898,cong_voting
[5],sigmoid,0.001,64,10,0.2857293868921776,0.291869086159274,0.06106376647949219,cong_voting
[5],sigmoid,0.0001,64,10,0.17061310782241015,0.18054485591624006,0.0638401985168457,cong_voting
[10],tanh,0.01,64,10,0.9359408033826637,0.9363193518269972,0.05016474723815918,cong_voting
[10],tanh,0.001,64,10,0.562262156448203,0.5616306182877311,0.05030856132507324,cong_voting
[10],tanh,0.0001,64,10,0.3776955602536997,0.3858908680303513,0.05050187110900879,cong_voting
[10],relu,0.01,64,10,0.91723044397463,0.9173749823230084,0.055425405502319336,cong_voting
[10],relu,0.001,64,10,0.5717758985200845,0.5701075592344972,0.052557849884033205,cong_voting
[10],relu,0.0001,64,10,0.4516913319238901,0.4174841557678408,0.05090055465698242,cong_voting
[10],sigmoid,0.01,64,10,0.9081395348837209,0.908621713028051,0.050794124603271484,cong_voting
[10],sigmoid,0.001,64,10,0.40084566596194504,0.265113496580744,0.05065031051635742,cong_voting
[10],sigmoid,0.0001,64,10,0.3686046511627907,0.19934054904044657,0.05000572204589844,cong_voting
"[25, 30]",tanh,0.01,64,10,0.9677589852008456,0.9677314369914793,0.05863938331604004,cong_voting
