Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
65033.jpg,74.75489460422696,74.88514123358657,76.93908060913104
148089.jpg,74.38728799207034,74.55136476101137,76.33851940187837
21077.jpg,75.4193855877394,75.61171818608845,76.58373825391575
41033.jpg,75.87883015083919,76.30377637326995,77.81275957429237
12084.jpg,74.91063395497324,74.72640330591078,77.77410157438572
175043.jpg,74.33645276575771,74.41400696717749,76.1395263805699
376043.jpg,74.66828494600313,74.75122828735982,76.23042060057601
299086.jpg,77.8875349856452,77.25817852151258,79.47885720964004
108082.jpg,75.4255788990944,75.51385496266711,77.35332536321438
134035.jpg,74.06982210622483,74.39936237151741,75.419670575341
38082.jpg,74.84223915496996,75.05438386980772,76.99893788443264
45096.jpg,79.73947615280952,78.64835320726742,79.99787193753006
167083.jpg,74.64818476539969,74.64550271658739,75.64998520349684
42049.jpg,77.43688270839215,76.59532999064999,76.39224364792673
295087.jpg,76.27756981806263,75.80011094945762,78.21310759414095
229036.jpg,74.50761101073613,74.64210743032879,76.1143959525401
89072.jpg,74.6789951623708,75.05578329635503,75.46196277710348
285079.jpg,74.58346065137393,74.81786740557953,76.24196114611355
69020.jpg,75.01723048209399,75.1613673871006,77.2658806229438
219090.jpg,76.42383990977524,76.32319106045375,77.41648581854699
103070.jpg,75.27743339489658,75.67913083204706,76.8363128620415
156065.jpg,75.17928632134091,75.20833408093037,76.97058897328981
210088.jpg,75.18867986919864,75.35857138655943,75.4311983010792
38092.jpg,75.22713705385733,75.30649748016896,76.16960124269875
197017.jpg,75.7498837149364,75.76229233431403,77.36617311538916
159008.jpg,74.4784759284149,74.92201799878166,75.73879688125798
306005.jpg,75.635833813422,75.78811488974924,76.44540370293682
241004.jpg,77.2598428485155,77.14900451613202,78.15342314573078
296007.jpg,77.5694539866417,77.15916986490853,79.06599021323791
85048.jpg,74.24785631720191,74.50548324640533,75.4966334913747
14037.jpg,77.61574065241089,77.4053589860007,78.85545088330771
208001.jpg,75.2877473284015,75.40082230430463,77.2022606218659
143090.jpg,77.34065279232601,77.3075438257531,78.21544117896275
157055.jpg,74.65710944942651,74.96005502820233,75.3471757037491
106024.jpg,76.69967867176142,77.00752617661074,77.33129251639028
182053.jpg,75.93895772252883,75.64196530912078,77.337668891297
37073.jpg,77.26636058792614,76.84185738845774,78.5739992571055
130026.jpg,75.28739730215695,75.41959433732964,77.0153256346131
361010.jpg,75.62448371299239,75.63514752398845,77.45917958950028
227092.jpg,78.22551839023798,77.64491343959777,78.6091315424668
163085.jpg,75.64695371538926,76.01348094770574,77.40825979602259
241048.jpg,74.89466596830502,75.05565592364698,76.68791233364915
86068.jpg,75.5680595267927,75.5387747506939,78.074689006986
3096.jpg,81.27643492287456,79.51618761334805,79.40826535329883
147091.jpg,76.58468604365949,76.2981724153127,77.19902091763876
220075.jpg,75.08181879780216,75.28499511780679,76.47003686162995
42012.jpg,75.03814346877724,75.45066837896739,76.16372468807245
304074.jpg,74.86098305413518,74.91818479380503,76.36446779996606
175032.jpg,74.16447090733207,74.27955633074511,77.1972396891796
78004.jpg,75.10957716663823,75.23169984094278,75.97766229726108
123074.jpg,75.04837766176139,75.3536772334518,76.74377058273467
33039.jpg,73.88117539480574,74.05751097903244,74.57217854578023
296059.jpg,76.24421338532704,76.23901444558126,77.03585336442688
69040.jpg,74.75147879523409,74.7637271426419,78.4738035077509
41069.jpg,74.60936449551203,74.7833844302089,77.29790146422877
145086.jpg,75.19716003942546,75.1842183685259,76.51125668694851
58060.jpg,75.2088922455677,75.1540605083206,78.53707333548448
102061.jpg,76.6644668886556,76.4481170268622,77.38088441077929
236037.jpg,74.46693082923801,74.6512808020986,77.13620585233232
97033.jpg,74.4616638779811,74.79060102030627,75.6495984184829
43074.jpg,77.15990572573381,77.17106436876308,79.9293007653034
16077.jpg,74.9421878290769,75.31552322401373,76.03985727785489
260058.jpg,77.18049595131963,77.12627912105476,79.64785084050499
351093.jpg,75.35542428746813,75.51066100716112,76.51753889275818
253055.jpg,77.94140071206337,77.1719504363237,79.43149645514472
271035.jpg,74.69554615329953,75.03761449837089,75.82606973687027
302008.jpg,76.65785029452101,76.81008936635415,77.20419681589175
148026.jpg,74.17897762760316,74.48996640752033,75.13352708960907
109053.jpg,75.80035364028998,75.93910032830321,77.51129593294036
62096.jpg,75.5872382871263,75.94024224307668,76.8962803751498
216081.jpg,75.27324373712156,75.2401308482884,76.75783617721449
189080.jpg,76.51955768056318,76.82855533074135,76.5849235454142
108005.jpg,74.80577265336281,74.91400286876012,77.08031893400864
385039.jpg,75.32570156209702,75.29082792394304,76.16399141640291
119082.jpg,74.1447766872747,74.36973088568931,75.17313893374637
19021.jpg,75.0587348375342,75.283531466533,76.24857547367641
54082.jpg,76.64456153788912,76.29766034704127,77.39474992173199
86000.jpg,75.42695168169051,75.1479123293274,76.7570877141763
167062.jpg,79.34693128958523,78.6577336043064,79.85914318011572
55073.jpg,74.53818834679042,74.68551333992312,77.21193455572478
101085.jpg,74.44183326622705,74.65149283481941,75.94342120863503
76053.jpg,75.83398582248992,75.66796468967007,78.66363761741559
