Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
65033.jpg,75.61214792578883,75.51453377184377,77.45083542280157
148089.jpg,75.22970687631171,75.4410122794547,77.04536753536969
21077.jpg,76.91739277034058,77.25361191043271,78.79896538854246
41033.jpg,78.07129772759319,78.41535811393872,80.47299472216662
12084.jpg,76.03413196163952,75.72512479878773,77.05753305209183
175043.jpg,75.04679965564642,75.40783181086293,76.30655291488534
376043.jpg,75.44445928257952,75.64609661509921,77.30085815776107
299086.jpg,79.7263743985774,79.44268853359188,81.77551914196563
108082.jpg,76.87507311723978,77.43653467062488,78.36367173426355
134035.jpg,75.16613001071356,75.62306922989363,76.27420619697092
38082.jpg,75.8992749404131,76.19373013174848,78.59006065847177
45096.jpg,82.57124855716052,80.86978071724135,81.89921622147864
167083.jpg,75.14884941498104,75.19106305455551,76.78105086223957
42049.jpg,80.14885450834969,79.84022916974288,79.91211159435231
295087.jpg,77.49570109517248,77.14780756886992,79.33329590921629
229036.jpg,75.4038434012906,75.54040047978359,76.77329484013741
89072.jpg,76.39564550846328,76.48100502453845,77.2813663697114
285079.jpg,75.82085828437697,75.92601092370143,76.90239452234806
69020.jpg,75.89599804778607,76.12213890345357,79.08748329659188
219090.jpg,77.96480800772899,78.08877804765403,79.8724875884132
103070.jpg,77.87843153483864,78.32335359248695,79.31795262407212
156065.jpg,76.11472946434517,76.19803127772533,78.51096573623097
210088.jpg,78.08099107970078,77.70053592175263,77.60338195960915
38092.jpg,76.57427536048812,76.71007450681911,78.28331600586351
197017.jpg,77.4325564470931,77.48796446945953,79.90813681268088
159008.jpg,76.16870663624236,76.62923822913906,77.0963442414166
306005.jpg,77.22553033843822,77.24609137441037,78.38960214690955
241004.jpg,79.73266494582256,79.5272416696041,81.37324685983698
296007.jpg,79.30586379886154,79.23460841331189,82.74053137646544
85048.jpg,75.43405958935509,75.78392966276874,77.13795628938473
14037.jpg,80.16572869158708,79.98680075320864,81.90347731285615
208001.jpg,76.71147267558493,76.59673880394021,78.15869974026553
143090.jpg,80.23252845890688,79.40564113734015,80.92663752560068
157055.jpg,76.52842997478609,76.80433375367615,77.4869742658135
106024.jpg,80.30462162475673,80.1340945833183,81.89780033425205
182053.jpg,76.91110611457347,77.07480465366545,78.23670240023888
37073.jpg,79.12961030453468,78.78085545038624,80.6209501198373
130026.jpg,76.41610528967631,76.61988889591379,78.38495320763931
361010.jpg,77.43831008198084,77.6571738925951,78.94324191335502
227092.jpg,80.66315689129027,80.56601601236443,83.12721522561799
163085.jpg,77.69810499849319,77.17657370511273,78.70772477479339
