Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
65033.jpg,75.61214792578883,75.60367321911654,77.09087996758532
148089.jpg,75.22970687631171,75.45563368406346,76.6475017860019
21077.jpg,76.91739277034058,77.02043188745175,78.30044983032619
41033.jpg,78.07129772759319,78.29740339792707,79.60271486226587
12084.jpg,76.03413196163952,75.85257135343949,76.92348763782222
175043.jpg,75.04679965564642,75.41861453856869,75.84362180023822
376043.jpg,75.44445928257952,75.68809728582607,76.90846386401121
299086.jpg,79.7263743985774,78.97366046359645,80.55724278791153
108082.jpg,76.87507311723978,77.23897037685174,77.7277343392119
134035.jpg,75.16613001071356,75.61553309077843,75.87599958523145
38082.jpg,75.8992749404131,76.11151017789811,77.74634818326017
45096.jpg,82.57124855716052,80.70635763930588,81.52528870291854
167083.jpg,75.14884941498104,75.19722223191017,76.43200556859868
42049.jpg,80.14885450834969,79.05621192277601,78.96331943505356
295087.jpg,77.49570109517248,76.97323448409706,78.76311032473757
229036.jpg,75.4038434012906,75.5403852947429,76.42417491371677
89072.jpg,76.39564550846328,76.53005022277586,76.97072189515018
285079.jpg,75.82085828437697,75.98800900939443,76.62615327416273
69020.jpg,75.89599804778607,76.06469128526771,78.33938670574571
219090.jpg,77.96480800772899,77.75493468139639,79.11642907244743
103070.jpg,77.87843153483864,78.1658122938582,78.50426005691848
156065.jpg,76.11472946434517,76.09445015270535,77.86048823539555
210088.jpg,78.08099107970078,77.7770465953656,77.24847534075046
38092.jpg,76.57427536048812,76.64868871933652,77.83500226342564
197017.jpg,77.4325564470931,77.34707217515354,79.21633490638246
159008.jpg,76.16870663624236,76.72955449020942,76.87108871043762
306005.jpg,77.22553033843822,77.140849939838,77.87335670110862
241004.jpg,79.73266494582256,79.13589942644212,80.47557032113727
296007.jpg,79.30586379886154,78.75092126217451,81.16404446148448
85048.jpg,75.43405958935509,75.74167738120207,76.93399948094358
14037.jpg,80.16572869158708,79.50981678821745,80.9042781438702
208001.jpg,76.71147267558493,76.72079419088176,77.87816295832373
143090.jpg,80.23252845890688,79.3388173572485,80.74412758438827
157055.jpg,76.52842997478609,76.76215022889635,76.94914095658756
106024.jpg,80.30462162475673,79.59345690443298,80.76252311105527
182053.jpg,76.91110611457347,76.87399786536302,77.60127589971472
37073.jpg,79.12961030453468,78.43835369627499,79.73445621981837
130026.jpg,76.41610528967631,76.51130338990164,77.7228195921983
361010.jpg,77.43831008198084,77.5594572686113,78.40981055310446
227092.jpg,80.66315689129027,79.63370539702487,81.23165439312247
